Forêt territoriale;Essences;% de la surface boisée en ha;commune
['STELLA'];['Divers'];17.;Alando, Alzi, Bustanico, Cambia, Carticasi, Erbajolo, Focicchia, Giuncaggio, Lano, Noceta, Piedicorte-di-Gaggio, Pietraserena, Poggio-Marinaccio, Prato-di-Giovellina, Rusio, San-Lorenzo, Santa-Lucia-di-Mercurio, Sermano, Tralonca
['TARTAGINE'];['Aulne vert'];17.0;Olmi-Cappella, Pioggiola, Vallica
['CHIAVARI'];['Chêne vert'];17.0;Coti-Chiavari, Pietrosella
['BAVELLA-SAMBUCU'];['Pin maritime'];15.0;Conca, Sari-Solenzara, Zonza
['FIUMORBU'];['Pin maritime'];15.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['TOVA'];['Chêne vert'];14.0;Corte, Venaco
['FANGO'];['Pin laricio de Corse'];11.0;Galéria, Manso
['MELO'];['Pin laricio de Corse'];100.0;Calacuccia, Corscia, Corte
['BAVELLA-SAMBUCU'];['Aulne glutineux'];10.0;Conca, Sari-Solenzara, Zonza
['TARTAGINE'];['Chêne vert'];1.5;Olmi-Cappella, Pioggiola, Vallica
['VALDO-NIELLO'];['Bouleau verruqueux'];1.0;Asco, Castifao, Moltifao, Morosaglia, Omessa, Piedigriggio, Popolasca, Prato-di-Giovellina, Soveria
['PINETO'];['Cyprès Arizona'];1.0;Aiti, Gavignano, Saliceto
['OSPEDALE'];['Divers'];1.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['ROSPA-SORBA'];['Aulne glutineux'];1.0;Calacuccia, Casamaccioli, Corscia, Lozzi
['ZONZA'];['Divers'];1.0;San-Gavino-di-Carbini, Zonza
['PUNTENIELLO'];['Pin laricio de Corse'];1.0;Ciamannacce, Tasso
['TARTAGINE'];['Divers'];1.0;Olmi-Cappella, Pioggiola, Vallica
['PINETO'];['Divers'];1.0;Aiti, Gavignano, Saliceto
['SANT-ANTONE'];['Divers'];1.0;Cozzano, Palneca
['OSPEDALE'];['Chêne liège'];1.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['TAVIGNANO'];['Divers'];1.0;Corte, Riventosa, Santo-Pietro-di-Venaco
