commune,essencepredominante,parcelbrulée(m2)
Corte,Pin laricio de Corse,31497
Ghisoni,Pin laricio de Corse,150
Palneca,Hêtre,150
Porto-Vecchio,Pin maritime,1532
Saliceto,Pin maritime,1
San-Gavino-di-Carbini,Pin laricio de Corse,3031
Zicavo,Hêtre,1
Zonza,Pin laricio de Corse,267
